,tic_id,Rsq_k,R_avg,B_k,P_avg,P_k,A_avg,A_k,B_avg
789,391995932,[0.99646204 0.99968395 0.99655417 0.99959106 0.99513283],0.9974848099937962,[       nan 0.59776963        nan 0.59528462 0.01611843],551.0948023958654,[550.09158122 549.25059243 553.5572276  549.17324164 553.40136909],0.16876640534518264,"[-1.06965785e-02  4.66453279e-01 -4.55349129e-03  3.92485411e-01
  1.43406561e-04]",0.4030575610366771
790,399151944,[0.99885799 0.99898646 0.99900943 0.99896844 0.99910051],0.9989845662406148,[0.48018046 0.48193334 0.48400796 0.48378789 0.48222266],1498.3582412978644,[1501.73488073 1499.27310351 1498.08866812 1499.41600508 1493.27854905],0.5397840404989438,[0.76820806 0.62068004 0.52667139 0.43899362 0.3443671 ],0.48242645856945626
791,418720347,[0.51315832 0.58354661 0.51333616 0.58293991 0.50925467],0.5404471321558177,[0.33749722 0.37007465 0.33704846 0.37023241 0.33674461],649.4703533662844,[648.86251854 648.87835033 649.51793912 649.78387818 650.30908067],0.28769210126924316,[0.24703685 0.38977458 0.22923415 0.36159548 0.21081945],0.3503194693340901
792,442567883,[0.92899529 0.96428194 0.92870853 0.96384539 0.92819583],0.9428053972225177,[0.1770726  0.44956533 0.17453403 0.44903465 0.17287864],225.28434125902044,[224.91258957 224.98658681 225.34713844 225.40673926 225.76865221],0.3276756401165054,[0.04258463 0.78342625 0.03908147 0.73712891 0.03615694],0.28461705073391697
793,442583304,[0.99786378 0.99276676 0.99737458 0.99868552 0.9952706 ],0.9963922491889854,[0.45233148 0.3932121  0.47202516 0.48532114 0.44646236],797.4431556626386,[824.2404312  801.80823502 760.79117871 784.192112   816.18382137],0.22933097138606665,[0.33376777 0.15700249 0.20865988 0.25840494 0.18881977],0.44987044773538437
794,457996506,[0.99923473 0.99889404 0.99896575 0.99872164 0.97089727],0.9933426863632805,[0.48023082 0.48134333 0.48757548 0.47171601 0.4506983 ],3406.334554073356,[3419.94873709 3385.26836592 3411.13541978 3436.99486194 3378.32538564],0.3196859067062983,[0.53493763 0.33928231 0.42527766 0.24455617 0.05437577],0.4743127873856225
795,7082633,[0.99898345 0.99899386 0.9989302  0.99885848 0.99875315],0.9989038287325978,[0.48171419 0.48211213 0.48156603 0.48298253 0.48427882],68.66447667730883,[69.13700942 68.94010213 68.7032569  68.39197868 68.15003625],0.9125863042989666,[0.93863006 0.92467743 0.91550505 0.90078764 0.88333135],0.48253074099342214
796,49541462,[0.99932324 0.99934806 0.99937033 0.99939565 0.99940926],0.9993693092377279,[0.48611537 0.48663538 0.48714066 0.48742506 0.48772034],321.06852676902565,[321.28784772 321.06998909 320.89396932 320.97206241 321.1187653 ],0.8603661098667228,[0.91882051 0.88408298 0.85885635 0.83195016 0.80812055],0.48700736180929505
797,60436937,[0.99912039 0.97580464],0.9874625153419974,[0.46741379 0.58066997],8269.640636190798,[8541.80499317 7997.47627921],0.24665720371905792,[0.42385111 0.06946329],0.5240418821495888
